,PC1,PC2,Sample,type,color,class
0,-97999562.66,275372747.4,BC5.1,BC5,#1597A5,canned
1,-93905335.4,214581149.6,BC5.3,BC5,#1597A5,canned
2,20341975.26,-11818223,17.2,17,#F66F69,Enzyme hydrolysate
3,4103114.399,-14058211.41,17.3,17,#F66F69,Enzyme hydrolysate
4,61155654.8,-6653899.541,28.4,28,#F66F69,Enzyme hydrolysate
5,59324741.55,-6589105.055,28.5,28,#F66F69,Enzyme hydrolysate
6,79735059.25,-3174782.695,23.2,23,#F66F69,Enzyme hydrolysate
7,64256909.94,-5127451.159,23.3,23,#F66F69,Enzyme hydrolysate
8,51282355.96,-5850728.067,24.2,24,#F66F69,Enzyme hydrolysate
9,90829037.78,6540353.694,24.3,24,#F66F69,Enzyme hydrolysate
10,60252866.41,-5671157.724,25.2,25,#F66F69,Enzyme hydrolysate
11,74405173.7,-4224686.314,25.3,25,#F66F69,Enzyme hydrolysate
12,54271113.14,-6857906.841,26.2,26,#F66F69,Enzyme hydrolysate
13,71100179.25,-2652905.719,26.3,26,#F66F69,Enzyme hydrolysate
14,54702696.11,8940972.414,27.2,27,#F66F69,Enzyme hydrolysate
15,74390834.19,7171387.56,27.3,27,#F66F69,Enzyme hydrolysate
16,-59705661.09,-20760576.2,17.4,17,#F66F69,Enzyme hydrolysate
17,37614313.15,-10023107.48,17.5,17,#F66F69,Enzyme hydrolysate
18,-61000779.56,-15367844.78,NTB.2,NTB,#1597A5,canned
19,-60406136.06,-16028381.39,NTB.3,NTB,#1597A5,canned
20,-58323181.2,-16496754.88,NTJ.3,NTJ,#1597A5,canned
21,-60694392.13,-14363073.29,BC2.2,BC2,#1597A5,canned
22,-61078647.36,-14108554.34,BC2.3,BC2,#1597A5,canned
23,-61280545.31,-16273469.01,BC3.1,BC3,#1597A5,canned
24,-62897028.11,-13201405.75,BC3.2,BC3,#1597A5,canned
25,-62541947.88,-12939094.43,BC3.3,BC3,#1597A5,canned
26,5994680.045,1614065.811,16.1,16,#F66F69,Enzyme hydrolysate
27,17661133.45,9212579.129,17.1,17,#F66F69,Enzyme hydrolysate
28,-23820599.54,-6085457.478,18.1,18,#F66F69,Enzyme hydrolysate
29,-58755888.65,-13120841.96,BC4.1,BC4,#1597A5,canned
30,-57587719.66,-10044531.08,BC4.2,BC4,#1597A5,canned
31,-55384515.17,-7515216.909,BC4.3,BC4,#1597A5,canned
32,-59857167.49,-19964513.67,BC5.2,BC5,#1597A5,canned
33,-60010800.72,-19106714.24,BC6.1,BC6,#1597A5,canned
34,-61901702.91,-16666911.13,BC6.2,BC6,#1597A5,canned
35,-61561463.52,-15747965.81,BC6.3,BC6,#1597A5,canned
36,-68638028.39,57460838.34,BC7.1,BC7,#1597A5,canned
37,-66982181.55,51139760.57,BC7.2,BC7,#1597A5,canned
38,-69903267.84,66939463.51,BC7.3,BC7,#1597A5,canned
39,-3999082.741,-12820455.19,23.1,23,#F66F69,Enzyme hydrolysate
40,51201419.87,-3288492.165,24.1,24,#F66F69,Enzyme hydrolysate
41,597202.8675,-14098488.02,25.1,25,#F66F69,Enzyme hydrolysate
42,-1446166.653,-14098370.43,26.1,26,#F66F69,Enzyme hydrolysate
43,14694053.19,-11526137.32,27.1,27,#F66F69,Enzyme hydrolysate
44,27570410.49,-10766488.27,28.1,28,#F66F69,Enzyme hydrolysate
45,41085057.22,-10105936.44,29.1,29,#F66F69,Enzyme hydrolysate
46,172576325.8,10439404.53,4.2,4,#F66F69,Enzyme hydrolysate
47,146865833.5,27908781.72,5.2,5,#F66F69,Enzyme hydrolysate
48,115621156.5,17027329.79,5.3,5,#F66F69,Enzyme hydrolysate
49,169893821,31030327.33,6.2,6,#F66F69,Enzyme hydrolysate
50,150441503.5,21957957.31,6.3,6,#F66F69,Enzyme hydrolysate
51,20339858.44,-4305209.536,16.2,16,#F66F69,Enzyme hydrolysate
52,105585397,8417353.796,16.3,16,#F66F69,Enzyme hydrolysate
53,135940526.6,12993192.69,28.2,28,#F66F69,Enzyme hydrolysate
54,67074814.43,5208893.036,28.3,28,#F66F69,Enzyme hydrolysate
55,107781400,7202795.567,30.1,30,#F66F69,Enzyme hydrolysate
56,117092815.3,9001600.098,30.2,30,#F66F69,Enzyme hydrolysate
57,39880968.97,-627635.6352,30.3,30,#F66F69,Enzyme hydrolysate
58,50192928.29,1169270.816,30.4,30,#F66F69,Enzyme hydrolysate
59,47255700.89,-1616142.207,4.3,4,#F66F69,Enzyme hydrolysate
60,68852041.72,5750466.709,5.4,5,#F66F69,Enzyme hydrolysate
61,51001896.79,359111.6242,5.5,5,#F66F69,Enzyme hydrolysate
62,37693344.68,2021916.553,6.4,6,#F66F69,Enzyme hydrolysate
63,47681085.39,636935.5575,6.5,6,#F66F69,Enzyme hydrolysate
64,-8375857.706,-15524413.23,16.4,16,#F66F69,Enzyme hydrolysate
65,-41935312.52,-20999188.23,18.2,18,#F66F69,Enzyme hydrolysate
66,61432369.13,7800945.16,18.3,18,#F66F69,Enzyme hydrolysate
67,-64543592.57,-27294955.4,25.4,25,#F66F69,Enzyme hydrolysate
68,-66214214.75,-29819031.12,26.4,26,#F66F69,Enzyme hydrolysate
69,-65531450.52,-28878312.57,26.5,26,#F66F69,Enzyme hydrolysate
70,-65687472.41,-29458639.19,29.2,29,#F66F69,Enzyme hydrolysate
71,-67208045.96,-31424654.49,29.3,29,#F66F69,Enzyme hydrolysate
72,51342164.79,-7975711.741,29.4,29,#F66F69,Enzyme hydrolysate
73,21724813.99,-12058168.59,29.5,29,#F66F69,Enzyme hydrolysate
74,-63312820.35,-4573485.862,BC1.1,BC1,#1597A5,canned
75,-62519435.77,-8324996.847,BC1.2,BC1,#1597A5,canned
76,-62717649,-6911323.479,MC1.1,MC1,#1597A5,canned
77,-63608922.41,-1696636.264,MC1.2,MC1,#1597A5,canned
78,-63765479.23,-2091316.178,MC1.3,MC1,#1597A5,canned
79,-59767618.04,-20728466.45,MC3.1,MC3,#1597A5,canned
80,-59770857.85,-20738696.85,MC3.2,MC3,#1597A5,canned
81,-59751167.14,-20759352.68,MC3.3,MC3,#1597A5,canned
82,-59686528.06,-20738170.87,PC1.1,PC1,#1597A5,canned
83,-59810654.08,-20341866.29,PC1.2,PC1,#1597A5,canned
84,-59363664.59,-20613919.32,PC1.3,PC1,#1597A5,canned
85,-59498887.24,-19877908.06,PC2.1,PC2,#1597A5,canned
86,-59575438.31,-19848645.24,PC2.2,PC2,#1597A5,canned
87,-59711350.36,-18481810.91,PC2.3,PC2,#1597A5,canned
88,-60242706.57,-15366483.19,PC3.1,PC3,#1597A5,canned
89,-60691565.12,-12905749.07,PC3.2,PC3,#1597A5,canned
90,-59868256.7,-16720871.65,PC3.3,PC3,#1597A5,canned
