sample	color	type
0	BC5.1	#1597A5	BC5
1	BC5.3	#1597A5	BC5
2	17.2	#F66F69	17
3	17.3	#F66F69	17
4	28.4	#F66F69	28
5	28.5	#F66F69	28
6	23.2	#F66F69	23
7	23.3	#F66F69	23
8	24.2	#F66F69	24
9	24.3	#F66F69	24
10	25.2	#F66F69	25
11	25.3	#F66F69	25
12	26.2	#F66F69	26
13	26.3	#F66F69	26
14	27.2	#F66F69	27
15	27.3	#F66F69	27
16	17.4	#F66F69	17
17	17.5	#F66F69	17
18	NTB.2	#1597A5	NTB
19	NTB.3	#1597A5	NTB
20	NTJ.3	#1597A5	NTJ
21	BC2.2	#1597A5	BC2
22	BC2.3	#1597A5	BC2
23	BC3.1	#1597A5	BC3
24	BC3.2	#1597A5	BC3
25	BC3.3	#1597A5	BC3
26	16.1	#F66F69	16
27	17.1	#F66F69	17
28	18.1	#F66F69	18
29	BC4.1	#1597A5	BC4
30	BC4.2	#1597A5	BC4
31	BC4.3	#1597A5	BC4
32	BC5.2	#1597A5	BC5
33	BC6.1	#1597A5	BC6
34	BC6.2	#1597A5	BC6
35	BC6.3	#1597A5	BC6
36	BC7.1	#1597A5	BC7
37	BC7.2	#1597A5	BC7
38	BC7.3	#1597A5	BC7
39	23.1	#F66F69	23
40	24.1	#F66F69	24
41	25.1	#F66F69	25
42	26.1	#F66F69	26
43	27.1	#F66F69	27
44	28.1	#F66F69	28
45	29.1	#F66F69	29
46	4.2	#F66F69	4
47	5.2	#F66F69	5
48	5.3	#F66F69	5
49	6.2	#F66F69	6
50	6.3	#F66F69	6
51	16.2	#F66F69	16
52	16.3	#F66F69	16
53	28.2	#F66F69	28
54	28.3	#F66F69	28
55	30.1	#F66F69	30
56	30.2	#F66F69	30
57	30.3	#F66F69	30
58	30.4	#F66F69	30
59	4.3	#F66F69	4
60	5.4	#F66F69	5
61	5.5	#F66F69	5
62	6.4	#F66F69	6
63	6.5	#F66F69	6
64	16.4	#F66F69	16
65	18.2	#F66F69	18
66	18.3	#F66F69	18
67	25.4	#F66F69	25
68	26.4	#F66F69	26
69	26.5	#F66F69	26
70	29.2	#F66F69	29
71	29.3	#F66F69	29
72	29.4	#F66F69	29
73	29.5	#F66F69	29
74	BC1.1	#1597A5	
75	BC1.2	#1597A5	BC1
76	MC1.1	#1597A5	MC1
77	MC1.2	#1597A5	MC1
78	MC1.3	#1597A5	MC1
79	MC3.1	#1597A5	MC3
80	MC3.2	#1597A5	MC3
81	MC3.3	#1597A5	MC3
82	PC1.1	#1597A5	PC1
83	PC1.2	#1597A5	PC1
84	PC1.3	#1597A5	PC1
85	PC2.1	#1597A5	PC2
86	PC2.2	#1597A5	PC2
87	PC2.3	#1597A5	PC2
88	PC3.1	#1597A5	PC3
89	PC3.2	#1597A5	PC3
90	PC3.3	#1597A5	PC3
