,PH_5.5,PH_6.0,PH_6.5,PH_7.0,temp_20,temp_25,ventilation_1,ventilation_2,ventilation_3,stir_200,stir_400,feeding_8,feeding_16,sugar_100,sugar_300,sugar_500,label
4.2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,9
4.3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,9
5.2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,7
5.3,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,7
5.4,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,7
5.5,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,7
6.2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,5
6.3,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,5
6.4,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,5
6.5,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,5
16.1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,11
16.2,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,11
16.3,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,11
16.4,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,11
17.1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,10
17.2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,10
17.3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,10
17.4,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,10
17.5,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,10
18.1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,9
18.2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,9
18.3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,9
23.1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,3
23.2,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,3
23.3,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,3
24.1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2
24.2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2
24.3,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2
25.1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,8
25.2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,8
25.3,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,8
25.4,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,8
26.1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,4
26.2,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,4
26.3,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,4
26.4,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,4
26.5,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,4
27.1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12
27.2,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12
27.3,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12
28.1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,6
28.2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,6
28.3,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,6
28.4,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,6
28.5,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,6
29.1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0
29.2,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0
29.3,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0
29.4,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0
29.5,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0
30.1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1
30.2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1
30.3,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1
30.4,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1
