	PH	temp	ventilation	stir	feeding	sugar
4.2	6	20	1	200	8	500
4.3	6	20	1	200	8	500
5.2	6	20	1	400	16	500
5.3	6	20	1	400	16	500
5.4	6	20	1	400	16	500
5.5	6	20	1	400	16	500
6.2	6	20	2	400	16	500
6.3	6	20	2	400	16	500
6.4	6	20	2	400	16	500
6.5	6	20	2	400	16	500
16.1	6	20	1	200	8	100
16.2	6	20	1	200	8	100
16.3	6	20	1	200	8	100
16.4	6	20	1	200	8	100
17.1	6	20	1	200	8	300
17.2	6	20	1	200	8	300
17.3	6	20	1	200	8	300
17.4	6	20	1	200	8	300
17.5	6	20	1	200	8	300
18.1	6	20	1	200	8	500
18.2	6	20	1	200	8	500
18.3	6	20	1	200	8	500
23.1	6	25	2	400	8	300
23.2	6	25	2	400	8	300
23.3	6	25	2	400	8	300
24.1	6	25	2	400	16	300
24.2	6	25	2	400	16	300
24.3	6	25	2	400	16	300
25.1	6	20	1	400	8	300
25.2	6	20	1	400	8	300
25.3	6	20	1	400	8	300
25.4	6	20	1	400	8	300
26.1	6	20	3	400	8	300
26.2	6	20	3	400	8	300
26.3	6	20	3	400	8	300
26.4	6	20	3	400	8	300
26.5	6	20	3	400	8	300
27.1	5.5	20	2	400	8	300
27.2	5.5	20	2	400	8	300
27.3	5.5	20	2	400	8	300
28.1	6	20	2	400	8	300
28.2	6	20	2	400	8	300
28.3	6	20	2	400	8	300
28.4	6	20	2	400	8	300
28.5	6	20	2	400	8	300
29.1	7	20	2	400	8	300
29.2	7	20	2	400	8	300
29.3	7	20	2	400	8	300
29.4	7	20	2	400	8	300
29.5	7	20	2	400	8	300
30.1	6.5	20	2	400	8	300
30.2	6.5	20	2	400	8	300
30.3	6.5	20	2	400	8	300
30.4	6.5	20	2	400	8	300
