ID	sample	type
1	4.2	4
2	4.3	4
3	5.2	5
4	5.3	5
5	5.4	5
6	5.5	5
7	6.2	6
8	6.3	6
9	6.4	6
10	6.5	6
11	16.1	16
12	16.2	16
13	16.3	16
14	16.4	16
15	17.1	17
16	17.2	17
17	17.3	17
18	17.4	17
19	17.5	17
20	18.1	18
21	18.2	18
22	18.3	18
23	23.1	23
24	23.2	23
25	23.3	23
26	24.1	24
27	24.2	24
28	24.3	24
29	25.1	25
30	25.2	25
31	25.3	25
32	25.4	25
33	26.1	26
34	26.2	26
35	26.3	26
36	26.4	26
37	26.5	26
38	27.1	27
39	27.2	27
40	27.3	27
41	28.1	28
42	28.2	28
43	28.3	28
44	28.4	28
45	28.5	28
46	29.1	29
47	29.2	29
48	29.3	29
49	29.4	29
50	29.5	29
51	30.1	30
52	30.2	30
53	30.3	30
54	30.4	30
55	NTB-2	NTB
56	NTB-3	NTB
57	NTJ-3	NTJ
58	BC2-2	BC2
59	BC2-3	BC2
60	BC3-1	BC3
61	BC3-2	BC3
62	BC3-3	BC3
63	BC4-1	BC4
64	BC4-2	BC4
65	BC4-3	BC4
66	BC5-1	BC5
67	BC5-2	BC5
68	BC5-3	BC5
69	BC6-1	BC6
70	BC6-2	BC6
71	BC6-3	BC6
72	BC7-1	BC7
73	BC7-2	BC7
74	BC7-3	BC7
75	BC1-1	BC1
76	BC1-2	BC1
77	MC1-1	MC1
78	MC1-2	MC1
79	MC1-3	MC1
80	MC3-1	MC3
81	MC3-2	MC3
82	MC3-3	MC3
83	PC1-1	PC1
84	PC1-2	PC1
85	PC1-3	PC1
86	PC2-1	PC2
87	PC2-2	PC2
88	PC2-3	PC2
89	PC3-1	PC3
90	PC3-2	PC3
91	PC3-3	PC3
